snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
2006,1,5,12,15,0.964,0
2006,3,-2,9,15,0.964,1
2006,-4,1,5,15,0.964,1
2006,0,-1,11,15,0.964,1
2006,4,2,3,15,0.964,1
2006,4,-3,2,15,0.964,0
2006,5,7,14,15,0.964,1
2006,-1,-1,11,15,0.964,1
2006,6,6,14,15,0.964,1
2006,2,3,15,15,0.964,1
2006,3,5,15,15,0.964,0
2006,0,-4,7,15,0.964,1
2006,0,0,11,15,0.964,1
2006,2,4,15,15,0.964,1
2006,-4,2,10,15,0.964,1
2006,-1,0,11,15,0.964,1
2010,-2,1,11,15,0.9534,1
2010,5,-2,4,15,0.9534,0
2010,0,3,10,15,0.9534,1
2010,4,6,4,15,0.9534,0
2010,0,4,10,15,0.9534,1
2010,-1,3,10,15,0.9534,1
2010,-2,2,8,15,0.9534,1
2010,5,5,1,15,0.9534,1
2010,-1,4,10,15,0.9534,1
2010,6,-2,2,15,0.9534,1
2010,7,2,2,15,0.9534,0
2010,4,7,4,15,0.9534,1
2010,2,1,4,15,0.9534,1
2010,-3,-1,5,15,0.9534,1
2010,1,-1,15,15,0.9534,1
2010,-4,7,10,15,0.9534,0
2010,2,2,4,15,0.9534,1
2010,2,-3,15,15,0.9534,1
2010,-3,0,6,15,0.9534,1
2010,1,-4,13,15,0.9534,1
2010,1,0,15,15,0.9534,0
2010,3,-1,4,15,0.9534,1
2010,4,-2,4,15,0.9534,0
2010,-2,6,10,15,0.9534,0
2010,0,1,11,15,0.9534,1
2010,-1,1,11,15,0.9534,1
2010,3,-4,12,15,0.9534,1
2010,3,0,4,15,0.9534,1
2010,0,8,9,15,0.9534,1
2010,-2,7,9,15,0.9534,0
2010,-3,3,8,15,0.9534,1
2010,4,5,1,15,0.9534,1
2010,0,2,11,15,0.9534,1
2010,0,-3,14,15,0.9534,1
2010,-3,4,8,15,0.9534,0
2010,1,3,10,15,0.9534,1
2010,-1,2,11,15,0.9534,1
2010,-1,-3,14,15,0.9534,1
2010,1,4,10,15,0.9534,1
2010,-4,5,8,15,0.9534,0
2010,2,6,4,15,0.9534,0
2010,5,-1,2,15,0.9534,0
2010,3,3,1,15,0.9534,1
2010,3,4,4,15,0.9534,0
2010,2,7,4,15,0.9534,1
2010,-2,-2,5,15,0.9534,1
2010,5,0,2,15,0.9534,1
2010,6,-1,2,15,0.9534,1
2010,0,-5,13,15,0.9534,1
2010,0,6,9,15,0.9534,0
2010,-2,5,10,15,0.9534,0
2010,-1,6,10,15,0.9534,0
2010,-3,1,6,15,0.9534,1
2010,6,0,2,15,0.9534,1
2010,1,1,10,15,0.9534,0
2010,2,-2,15,15,0.9534,1
2010,0,7,9,15,0.9534,1
2010,5,3,1,15,0.9534,1
2010,-1,7,9,15,0.9534,1
