lambda_,max_neurons,n_iter,window_size,step_size,n_neurons,n_samples,db_1990,db_2000,db_2010,db_2020,mean_db,min_db,max_db,time_seconds
1.5,150,150,3,1,150,5280,0.8900033947144179,0.9137384789520534,0.8662684900886367,0.6851024907116774,0.8387782136166964,0.6851024907116774,0.9137384789520534,7.8
1.5,150,150,3,2,150,2640,0.8783231224099285,0.94427177775185,0.8512246358611435,0.5980282954026623,0.8179619578563961,0.5980282954026623,0.94427177775185,3.9
1.5,150,150,5,1,150,4950,0.4143334535896271,0.929132078735657,0.8307110290745274,,0.7247255204666038,0.4143334535896271,0.929132078735657,11.3
1.5,150,150,5,2,150,2475,1.0085784577236014,0.8143313428978841,0.8490061944577225,,0.8906386650264028,0.8143313428978841,1.0085784577236014,5.6
1.5,150,200,3,1,150,5280,0.8542649821708267,0.8218716184642526,0.8168658519201525,0.658718411352695,0.7879302159769817,0.658718411352695,0.8542649821708267,10.2
1.5,150,200,3,2,149,2640,0.9285442559629428,1.0213737589743386,0.8632176922213567,0.7100847987665048,0.8808051264812857,0.7100847987665048,1.0213737589743386,5.2
1.5,150,200,5,1,150,4950,0.8776870661388029,0.91252965377723,0.7410328883274301,,0.8437498694144877,0.7410328883274301,0.91252965377723,14.8
1.5,150,200,5,2,150,2475,0.8653160253407636,0.8508811170962067,0.8619875769314436,,0.859394906456138,0.8508811170962067,0.8653160253407636,7.5
1.5,150,250,3,1,150,5280,0.4137324100061042,0.8489997792965666,0.8236930264231045,0.6005496160136261,0.6717437079348503,0.4137324100061042,0.8489997792965666,12.9
1.5,150,250,3,2,150,2640,0.8643425860135845,0.8703405874222258,0.8975864972730219,0.5977944501610365,0.8075160302174671,0.5977944501610365,0.8975864972730219,6.5
1.5,150,250,5,1,150,4950,0.8965960615689634,0.9141656061546737,0.8570339529396921,,0.8892652068877763,0.8570339529396921,0.9141656061546737,18.7
1.5,150,250,5,2,150,2475,0.8876660163475848,0.8307260078971357,0.8757302367979716,,0.864707420347564,0.8307260078971357,0.8876660163475848,9.6
1.5,150,300,3,1,150,5280,0.8906457773488705,0.8488912221391605,0.8179740776511232,0.6395755987302514,0.7992716689673514,0.6395755987302514,0.8906457773488705,15.7
1.5,150,300,3,2,149,2640,0.6942278189797209,0.946325839557811,0.8215504083323961,0.6443316905496269,0.7766089393548887,0.6443316905496269,0.946325839557811,7.9
1.5,150,300,5,1,150,4950,0.854417589700175,0.878198847518577,0.8462047535344264,,0.8596070635843928,0.8462047535344264,0.878198847518577,22.4
1.5,150,300,5,2,149,2475,0.8627502804432925,0.9532899499007568,0.7601634785730078,,0.8587345696390191,0.7601634785730078,0.9532899499007568,11.4
2.0,60,150,3,1,60,5280,0.8166799257483566,0.7772327171840278,0.7264960396065164,0.6124173610842158,0.733206510905779,0.6124173610842158,0.8166799257483566,3.3
2.0,60,150,3,2,60,2640,0.5105527946978589,0.706340448208597,0.7557153863016393,0.6798930579262911,0.6631254217835966,0.5105527946978589,0.7557153863016393,1.7
2.0,60,150,5,1,60,4950,0.7785338739314338,0.7402689665057923,0.7067633685913112,,0.7418554030095125,0.7067633685913112,0.7785338739314338,4.5
2.0,60,150,5,2,60,2475,0.610662463001225,0.775667765224202,0.7344165731310924,,0.7069156004521732,0.610662463001225,0.775667765224202,2.4
2.0,60,200,3,1,60,5280,0.5405338972160663,0.6949159495236978,0.785615922735308,0.6356899797088867,0.6641889372959897,0.5405338972160663,0.785615922735308,4.4
2.0,60,200,3,2,60,2640,0.6389956166119742,0.6950015763768834,0.8084272308061563,0.5606803571731607,0.6757761952420436,0.5606803571731607,0.8084272308061563,2.1
2.0,60,200,5,1,60,4950,0.7207067658096162,0.7916776168749848,0.6951503745091356,,0.7358449190645789,0.6951503745091356,0.7916776168749848,6.5
2.0,60,200,5,2,60,2475,0.6083468023061798,0.7480491689290459,0.7186549476758782,,0.6916836396370346,0.6083468023061798,0.7480491689290459,3.3
2.0,60,250,3,1,60,5280,0.8254099148786098,0.6918931556837595,0.6830334781651742,0.6313697276164596,0.7079265690860008,0.6313697276164596,0.8254099148786098,5.6
2.0,60,250,3,2,60,2640,0.7583239594659148,0.6943186685643927,0.8508946765993226,0.5604052118136473,0.7159856291108194,0.5604052118136473,0.8508946765993226,2.8
2.0,60,250,5,1,60,4950,0.7291294537729471,0.7480966405044768,0.7069049794128857,,0.7280436912301033,0.7069049794128857,0.7480966405044768,8.1
